Pond,Replicate,Temp,teabag,dry weight (g),Weight lost(g)
G1,1,2,Green,0.68,1.32
G1,2,2,Green,0.75,1.25
G1,1,2,Red,1.66,0.34
G1,2,2,Red,1.67,0.33
G2,1,1,Green,0.62,1.38
G2,2,1,Green,0.62,1.38
G2,1,1,Red,1.57,0.43
G2,2,1,Red,1.63,0.37
G3,1,2,Green,0.62,1.38
G3,2,2,Green,0.62,1.38
G3,1,2,Red,1.67,0.33
G3,2,2,Red,1.7,0.3
G5,1,3,Green,0.57,1.43
G5,2,3,Green,0.58,1.42
G5,1,3,Red,1.6,0.4
G5,2,3,Red,1.62,0.38
H1,1,0,Green,0.65,1.35
H1,2,0,Green,0.66,1.34
H1,1,0,Red,1.55,0.45
H1,2,0,Red,1.62,0.38
H9,1,1,Green,0.59,1.41
H9,2,1,Green,0.59,1.41
H9,1,1,Red,1.57,0.43
H9,2,1,Red,1.6,0.4
H3,1,8,Green,0.7,1.3
H3,2,8,Green,0.71,1.29
H3,1,8,Red,1.65,0.35
H3,2,8,Red,1.66,0.34
H4,1,4,Green,0.58,1.42
H4,2,4,Green,0.63,1.37
H4,1,4,Red,1.56,0.44
H4,2,4,Red,1.65,0.35
H7,1,7,Green,0.48,1.52
H7,2,7,Green,0.48,1.52
H7,1,7,Red,1.44,0.56
H7,2,7,Red,1.45,0.55
E1,1,4,Green,0.57,1.43
E1,2,4,Green,0.63,1.37
E1,1,4,Red,1.62,0.38
E1,2,4,Red,1.66,0.34
E11,1,3,Green,0.65,1.35
E11,2,3,Green,0.72,1.28
E11,1,3,Red,1.66,0.34
E11,2,3,Red,1.67,0.33
E2,1,7,Green,0.44,1.56
E2,2,7,Green,0.5,1.5
E2,1,7,Red,1.5,0.5
E2,2,7,Red,1.5,0.5
E5,1,3,Green,0.62,1.38
E5,2,3,Green,0.64,1.36
E5,1,3,Red,1.65,0.35
E5,2,3,Red,1.67,0.33
B1,1,1,Green,0.608,1.392
B1,2,1,Green,0.617,1.383
B1,1,1,Red,1.658,0.342
B1,2,1,Red,1.659,0.341
B10,1,8,Green,0.489,1.511
B10,2,8,Green,0.509,1.491
B10,1,8,Red,1.501,0.499
B10,2,8,Red,1.515,0.485
B3,1,6,Green,0.498,1.502
B3,2,6,Green,0.54,1.46
B3,1,6,Red,1.532,0.468
B3,2,6,Red,1.532,0.468
B4,1,0,Green,0.603,1.397
B4,2,0,Green,0.639,1.361
B4,1,0,Red,1.615,0.385
B4,2,0,Red,1.626,0.374
B6,1,7,Green,0.533,1.467
B6,2,7,Green,0.547,1.453
B6,1,7,Red,1.531,0.469
B6,2,7,Red,1.539,0.461
B7,1,3,Green,0.526,1.474
B7,2,3,Green,0.602,1.398
B7,1,3,Red,1.581,0.419
A1,1,4,Green,0.519,1.481
A1,2,4,Green,0.527,1.473
A1,1,4,Red,1.57,0.43
A1,2,4,Red,1.641,0.359
A2,1,0,Green,0.599,1.401
A2,2,0,Green,0.626,1.374
A2,1,0,Red,1.666,0.334
A2,2,0,Red,1.748,0.252
A3,1,5,Green,0.565,1.435
A3,2,5,Green,0.586,1.414
A3,1,5,Red,1.587,0.413
A3,2,5,Red,1.59,0.41
A5,1,1,Green,0.614,1.386
A5,2,1,Green,0.65,1.35
A5,1,1,Red,1.612,0.388
A5,2,1,Red,1.643,0.357
A8,1,5,Green,0.473,1.527
A8,2,5,Green,0.576,1.424
A8,1,5,Red,1.587,0.413
A8,2,5,Red,1.665,0.335
G11,1,5,Green,0.621,1.379
G11,2,5,Green,0.71,1.29
G11,1,5,Red,1.606,0.394
G11,2,5,Red,1.65,0.35
C11,1,7,Green,0.6,1.4
C11,2,7,Green,0.542,1.458
C11,1,7,Red,1.557,0.443
C11,2,7,Red,1.543,0.457
C2,1,2,Green,0.58,1.42
C2,2,2,Green,0.573,1.427
C2,1,2,Red,1.578,0.422
C2,2,2,Red,1.588,0.412
C4,1,8,Green,0.487,1.513
C4,2,8,Green,0.52,1.48
C4,1,8,Red,1.542,0.458
C4,2,8,Red,1.595,0.405
F10,1,6,Green,0.545,1.455
F10,2,6,Green,0.557,1.443
F10,1,6,Red,1.598,0.402
F10,2,6,Red,1.68,0.32
F5,1,0,Green,0.615,1.385
F5,2,0,Green,0.655,1.345
F5,1,0,Red,1.654,0.346
F5,2,0,Red,1.752,0.248
F6,1,5,Green,0.624,1.376
F6,2,5,Green,0.698,1.302
F6,1,5,Red,1.607,0.393
F6,2,5,Red,1.657,0.343
F7,1,8,Green,0.501,1.499
F7,2,8,Green,0.581,1.419
F7,1,8,Red,1.527,0.473
F7,2,8,Red,1.666,0.334
D2,1,4,Green,0.569,1.431
D2,2,4,Green,0.598,1.402
D2,1,4,Red,1.587,0.413
D2,2,4,Red,1.658,0.342
D3,1,6,Green,0.573,1.427
D3,2,6,Green,0.634,1.366
D3,1,6,Red,1.584,0.416
D3,2,6,Red,1.657,0.343
D4,1,2,Green,0.611,1.389
D4,2,2,Green,0.649,1.351
D4,1,2,Red,1.659,0.341
D4,2,2,Red,1.662,0.338
D9,1,6,Green,0.583,1.417
D9,2,6,Green,0.613,1.387
D9,1,6,Red,1.599,0.401
D9,2,6,Red,1.615,0.385
