no,who,area,pond,Temp,month,sampling,sampler,sample,samplertype,samplevolume,sample_lab_ml,sample_scanned,Multiplier,sizegroup,group,subgroup,adult_or_instar,subsubgroup,species,LEPU,WEPU,Lmm,Wmm,L_micrometer,W_micrometer,Volume_micrometercubed,Volume_nanolitre,WW,FW,DW,DWC
1,Darcy,Silwood,G2,1,April,1,zooplankton net,G2,Net,V=pr2h ,50,15,3.333333333,zooplankton,Crustacea,Calanoid Copepoda,adult,na,na,1.5,0.5,0.0375,0.0125,37.5,12.5,3067.961576,0.003067962,0.003067962,0.003374758,0.000843689,0.000337476
2,Darcy,Silwood,G2,1,April,1,zooplankton net,G2,Net,V=pr2h ,50,15,3.333333333,zooplankton,Crustacea,Calanoid Copepoda,adult,na,na,2,1,0.05,0.025,50,25,16362.46174,0.016362462,0.016362462,0.017998708,0.004499677,0.001799871
3,Darcy,Silwood,G2,1,April,1,zooplankton net,G2,Net,V=pr2h ,50,15,3.333333333,zooplankton,Crustacea,Calanoid Copepoda,adult,na,na,1.5,0.5,0.0375,0.0125,37.5,12.5,3067.961576,0.003067962,0.003067962,0.003374758,0.000843689,0.000337476
4,Darcy,Silwood,G2,1,April,1,zooplankton net,G2,Net,V=pr2h ,50,15,3.333333333,zooplankton,Crustacea,Calanoid Copepoda,adult,na,na,1.5,0.5,0.0375,0.0125,37.5,12.5,3067.961576,0.003067962,0.003067962,0.003374758,0.000843689,0.000337476
5,Darcy,Silwood,G2,1,April,1,zooplankton net,G2,Net,V=pr2h ,50,15,3.333333333,zooplankton,Crustacea,Calanoid Copepoda,adult,na,na,2,1,0.05,0.025,50,25,16362.46174,0.016362462,0.016362462,0.017998708,0.004499677,0.001799871
6,Darcy,Silwood,G2,1,April,1,zooplankton net,G2,Net,V=pr2h ,50,15,3.333333333,zooplankton,Crustacea,Calanoid Copepoda,adult,na,na,2.5,1,0.0625,0.025,62.5,25,20453.07717,0.020453077,0.020453077,0.022498385,0.005624596,0.002249838
7,Darcy,Silwood,G2,1,April,1,zooplankton net,G2,Net,V=pr2h ,50,15,3.333333333,zooplankton,Crustacea,Calanoid Copepoda,adult,na,na,3,2,0.075,0.05,75,50,98174.77042,0.09817477,0.09817477,0.107992247,0.026998062,0.010799225
8,Darcy,Silwood,G2,1,April,1,zooplankton net,G2,Net,V=pr2h ,50,15,3.333333333,zooplankton,Crustacea,Calanoid Copepoda,adult,na,na,2.5,1,0.0625,0.025,62.5,25,20453.07717,0.020453077,0.020453077,0.022498385,0.005624596,0.002249838
9,Darcy,Silwood,G2,1,April,1,zooplankton net,G2,Net,V=pr2h ,50,15,3.333333333,zooplankton,Crustacea,Calanoid Copepoda,adult,na,na,2.5,1.5,0.0625,0.0375,62.5,37.5,46019.42364,0.046019424,0.046019424,0.050621366,0.012655342,0.005062137
10,Darcy,Silwood,G2,1,April,1,zooplankton net,G2,Net,V=pr2h ,50,15,3.333333333,zooplankton,Crustacea,Calanoid Copepoda,adult,na,na,3.5,2,0.0875,0.05,87.5,50,114537.2322,0.114537232,0.114537232,0.125990955,0.031497739,0.012599096
11,Darcy,Silwood,G2,1,April,1,zooplankton net,G2,Net,V=pr2h ,50,15,3.333333333,zooplankton,Crustacea,Calanoid Copepoda,adult,na,na,2.5,1.5,0.0625,0.0375,62.5,37.5,46019.42364,0.046019424,0.046019424,0.050621366,0.012655342,0.005062137
12,Darcy,Silwood,G2,1,April,1,zooplankton net,G2,Net,V=pr2h ,50,15,3.333333333,zooplankton,Crustacea,Calanoid Copepoda,adult,na,na,2.5,1.5,0.0625,0.0375,62.5,37.5,46019.42364,0.046019424,0.046019424,0.050621366,0.012655342,0.005062137
